hashname,20250413_PClicks_NoisyGRU_final2_latent_size,_max_epochs,_seed,_lr,_weight_decay,_encoder_size,_file_index,_output_nonlinearity,_heldin_size,_heldout_size,_n_heldin,_n_heldout,_fr_scaling,_rect_func,_obs_noise,_dispersion,_alpha,_vf_hidden_size,_vf_num_layers,state_r2,rate_r2,co-bps,cycle_con
81cf122c,64,500,0,0.002,0.0,128,5,torch.nn.functional.softplus,280,300,280,20,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.8427779674530029,0.9912645816802979,0.2259909063577652,0.8416082262992859
a701dc07,32,500,0,0.002,0.0,128,5,torch.nn.functional.softplus,280,300,280,20,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.9729240536689758,0.9930098056793213,0.22627989947795868,0.9794315695762634
e6275718,10,500,0,0.002,0.0,128,5,torch.nn.functional.softplus,280,300,280,20,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.9971912503242493,0.9920130968093872,0.2260047197341919,0.9992515444755554
488a7510,3,500,0,0.002,0.0,128,5,torch.nn.functional.softplus,280,300,280,20,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.9983063340187073,0.9864235520362854,0.22445130348205566,1.0
63d789d4,2,500,0,0.002,0.0,128,5,torch.nn.functional.softplus,280,300,280,20,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.9963787198066711,0.9661087393760681,0.22102102637290955,1.0
bbdaadc8,5,500,0,0.002,0.0,128,5,torch.nn.functional.softplus,280,300,280,20,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.9977960586547852,0.9881276488304138,0.22501333057880402,0.9986145496368408
e6275718,10,500,0,0.002,0.0,128,5,torch.nn.functional.softplus,280,300,280,20,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.9971912503242493,0.9920130968093872,0.2260047197341919,0.9992515444755554
bbdaadc8,5,500,0,0.002,0.0,128,5,torch.nn.functional.softplus,280,300,280,20,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.9977960586547852,0.9881276488304138,0.22501333057880402,0.9986145496368408
81cf122c,64,500,0,0.002,0.0,128,5,torch.nn.functional.softplus,280,300,280,20,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.8427779674530029,0.9912645816802979,0.2259909063577652,0.8416082262992859
63d789d4,2,500,0,0.002,0.0,128,5,torch.nn.functional.softplus,280,300,280,20,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.9963787198066711,0.9661087393760681,0.22102102637290955,1.0
a701dc07,32,500,0,0.002,0.0,128,5,torch.nn.functional.softplus,280,300,280,20,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.9729240536689758,0.9930098056793213,0.22627989947795868,0.9794315695762634
488a7510,3,500,0,0.002,0.0,128,5,torch.nn.functional.softplus,280,300,280,20,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.9983063340187073,0.9864235520362854,0.22445130348205566,1.0
caa67dc7,3,501,0,0.002,0.0,128,5,torch.nn.functional.softplus,280,300,280,20,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.998537540435791,0.9856546521186829,0.2244904339313507,1.0
65ff784b,2,501,0,0.002,0.0,128,5,torch.nn.functional.softplus,280,300,280,20,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.9956635236740112,0.9663193225860596,0.22083649039268494,1.0
04f118b3,5,501,0,0.002,0.0,128,5,torch.nn.functional.softplus,280,300,280,20,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.998073160648346,0.9895228743553162,0.22526481747627258,0.9986547231674194
65ff784b,2,501,0,0.002,0.0,128,5,torch.nn.functional.softplus,280,300,280,20,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.9956635236740112,0.9663193225860596,0.22083649039268494,1.0
04f118b3,5,501,0,0.002,0.0,128,5,torch.nn.functional.softplus,280,300,280,20,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.998073160648346,0.9895228743553162,0.22526481747627258,0.9986547231674194
caa67dc7,3,501,0,0.002,0.0,128,5,torch.nn.functional.softplus,280,300,280,20,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.998537540435791,0.9856546521186829,0.2244904339313507,1.0
4ac7f7e5,32,501,0,0.002,0.0,128,5,torch.nn.functional.softplus,280,300,280,20,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.9751585721969604,0.9924088716506958,0.22626946866512299,0.9819700717926025
