hashname,20250407_PC_NODE_grid_final_latent_size,_max_epochs,_seed,_lr,_weight_decay,_encoder_size,_file_index,_output_nonlinearity,_heldin_size,_heldout_size,_n_heldin,_n_heldout,_fr_scaling,_rect_func,_obs_noise,_dispersion,_alpha,_vf_hidden_size,_vf_num_layers,state_r2,rate_r2,co-bps,cycle_con
91466bac,128,501,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,,,,
ecf08c3e,256,501,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,,,,
ecf08c3e,256,501,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,,,,
2456e958,512,501,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,,,,
2456e958,512,501,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,,,,
bed9658e,32,501,0,0.0001,0.0001,128,21,,200,300,200,100,1.0,softplus,poisson,1.0,,,,,,,
bed9658e,32,501,0,0.0001,0.0001,128,21,,200,300,200,100,1.0,softplus,poisson,1.0,,,,,,,
4925fdf9,64,501,0,0.0001,0.0001,128,21,,200,300,200,100,1.0,softplus,poisson,1.0,,,,,,,
4925fdf9,64,501,0,0.0001,0.0001,128,21,,200,300,200,100,1.0,softplus,poisson,1.0,,,,,,,
11bb2f49,128,501,0,0.0001,0.0001,128,21,,200,300,200,100,1.0,softplus,poisson,1.0,,,,,,,
11bb2f49,128,501,0,0.0001,0.0001,128,21,,200,300,200,100,1.0,softplus,poisson,1.0,,,,,,,
1cc9649b,256,501,0,0.0001,0.0001,128,21,,200,300,200,100,1.0,softplus,poisson,1.0,,,,,,,
1cc9649b,256,501,0,0.0001,0.0001,128,21,,200,300,200,100,1.0,softplus,poisson,1.0,,,,,,,
2fcbfe2e,512,501,0,0.0001,0.0001,128,21,,200,300,200,100,1.0,softplus,poisson,1.0,,,,,,,
2fcbfe2e,512,501,0,0.0001,0.0001,128,21,,200,300,200,100,1.0,softplus,poisson,1.0,,,,,,,
12593a9a,5,500,0,0.002,0.0,128,21,,280,300,280,20,1.0,softplus,poisson,1.0,0.05,128.0,3.0,,,,
0dba453e,2,500,0,0.002,0.0,128,21,,280,300,280,20,1.0,softplus,poisson,1.0,0.05,128.0,3.0,,,,
5aeb895e,3,500,0,0.002,0.0,128,21,,280,300,280,20,1.0,softplus,poisson,1.0,0.05,128.0,3.0,,,,
2cce6a48,32,500,0,0.002,0.0,128,21,,280,300,280,20,1.0,softplus,poisson,1.0,0.05,128.0,3.0,,,,
e1a93f7a,10,500,0,0.002,0.0,128,21,,280,300,280,20,1.0,softplus,poisson,1.0,0.05,128.0,3.0,,,,
0dba453e,2,500,0,0.002,0.0,128,21,,280,300,280,20,1.0,softplus,poisson,1.0,0.05,128.0,3.0,,,,
5aeb895e,3,500,0,0.002,0.0,128,21,,280,300,280,20,1.0,softplus,poisson,1.0,0.05,128.0,3.0,,,,
12593a9a,5,500,0,0.002,0.0,128,21,,280,300,280,20,1.0,softplus,poisson,1.0,0.05,128.0,3.0,,,,
2cce6a48,32,500,0,0.002,0.0,128,21,,280,300,280,20,1.0,softplus,poisson,1.0,0.05,128.0,3.0,,,,
e1a93f7a,10,500,0,0.002,0.0,128,21,,280,300,280,20,1.0,softplus,poisson,1.0,0.05,128.0,3.0,,,,
0f85a8e3,64,500,0,0.002,0.0,128,21,,280,300,280,20,1.0,softplus,poisson,1.0,0.05,128.0,3.0,,,,
0f85a8e3,64,500,0,0.002,0.0,128,21,,280,300,280,20,1.0,softplus,poisson,1.0,0.05,128.0,3.0,,,,
0fbc1dba,2,501,0,0.002,0.0,128,21,,280,300,280,20,1.0,softplus,poisson,1.0,0.05,128.0,3.0,,,,
0fbc1dba,2,501,0,0.002,0.0,128,21,,280,300,280,20,1.0,softplus,poisson,1.0,0.05,128.0,3.0,,,,
17b7b1c2,3,501,0,0.002,0.0,128,21,,280,300,280,20,1.0,softplus,poisson,1.0,0.05,128.0,3.0,,,,
17b7b1c2,3,501,0,0.002,0.0,128,21,,280,300,280,20,1.0,softplus,poisson,1.0,0.05,128.0,3.0,,,,
1b546c01,5,501,0,0.002,0.0,128,21,,280,300,280,20,1.0,softplus,poisson,1.0,0.05,128.0,3.0,,,,
1b546c01,5,501,0,0.002,0.0,128,21,,280,300,280,20,1.0,softplus,poisson,1.0,0.05,128.0,3.0,,,,
29164e28,10,501,0,0.002,0.0,128,21,,280,300,280,20,1.0,softplus,poisson,1.0,0.05,128.0,3.0,,,,
29164e28,10,501,0,0.002,0.0,128,21,,280,300,280,20,1.0,softplus,poisson,1.0,0.05,128.0,3.0,,,,
9a425aa1,32,501,0,0.002,0.0,128,21,,280,300,280,20,1.0,softplus,poisson,1.0,0.05,128.0,3.0,,,,
9a425aa1,32,501,0,0.002,0.0,128,21,,280,300,280,20,1.0,softplus,poisson,1.0,0.05,128.0,3.0,,,,
47849297,64,501,0,0.002,0.0,128,21,,280,300,280,20,1.0,softplus,poisson,1.0,0.05,128.0,3.0,,,,
47849297,64,501,0,0.002,0.0,128,21,,280,300,280,20,1.0,softplus,poisson,1.0,0.05,128.0,3.0,,,,
f167c764,10,500,0,0.002,0.0,128,21,torch.nn.functional.softplus,280,300,250,50,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
8dfe7cb9,5,500,0,0.002,0.0,128,21,torch.nn.functional.softplus,280,300,250,50,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
091646a6,2,500,0,0.002,0.0,128,21,torch.nn.functional.softplus,280,300,250,50,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
0c2f4998,3,500,0,0.002,0.0,128,21,torch.nn.functional.softplus,280,300,250,50,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
185e9836,32,500,0,0.002,0.0,128,21,torch.nn.functional.softplus,280,300,250,50,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
23d4b85b,64,500,0,0.002,0.0,128,21,torch.nn.functional.softplus,280,300,250,50,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
23d4b85b,64,500,0,0.002,0.0,128,21,torch.nn.functional.softplus,280,300,250,50,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
8dfe7cb9,5,500,0,0.002,0.0,128,21,torch.nn.functional.softplus,280,300,250,50,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
185e9836,32,500,0,0.002,0.0,128,21,torch.nn.functional.softplus,280,300,250,50,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
091646a6,2,500,0,0.002,0.0,128,21,torch.nn.functional.softplus,280,300,250,50,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
0c2f4998,3,500,0,0.002,0.0,128,21,torch.nn.functional.softplus,280,300,250,50,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
f167c764,10,500,0,0.002,0.0,128,21,torch.nn.functional.softplus,280,300,250,50,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
