hashname,model,_latent_size,_output_nonlinearity,_heldin_size,_vf_hidden_size,_vf_num_layers,model_type,category,subcategory
ff61b4da,fr,64,300,250,,250.0,gru,underfitting,low_rate_high_state
c631a64c,fr,64,300,250,torch.nn.functional.softplus,250.0,gru,underfitting,low_rate_high_state
c631a64c,fr,64,300,250,torch.nn.functional.softplus,250.0,gru,underfitting,low_rate_high_state
945575ce,fr,64,300,250,,250.0,gru,underfitting,low_rate_high_state
945575ce,fr,64,300,250,,250.0,gru,underfitting,low_rate_high_state
99e827ab,fr,64,300,250,torch.nn.functional.softplus,250.0,gru,underfitting,low_rate_high_state
99e827ab,fr,64,300,250,torch.nn.functional.softplus,250.0,gru,underfitting,low_rate_high_state
ff61b4da,fr,64,300,250,,250.0,gru,underfitting,low_rate_high_state
ff61b4da,fr,64,300,250,,250.0,gru,underfitting,low_rate_high_state
f49d0127,fr,128,300,250,torch.nn.functional.softplus,250.0,gru,underfitting,low_co_high_cycle
c631a64c,fr,64,300,250,torch.nn.functional.softplus,250.0,gru,underfitting,low_co_high_cycle
c631a64c,fr,64,300,250,torch.nn.functional.softplus,250.0,gru,underfitting,low_co_high_cycle
f49d0127,fr,128,300,250,torch.nn.functional.softplus,250.0,gru,underfitting,low_co_high_cycle
a058d181,fr,128,300,250,,250.0,gru,underfitting,low_co_high_cycle
945575ce,fr,64,300,250,,250.0,gru,underfitting,low_co_high_cycle
a058d181,fr,128,300,250,,250.0,gru,underfitting,low_co_high_cycle
945575ce,fr,64,300,250,,250.0,gru,underfitting,low_co_high_cycle
99e827ab,fr,64,300,250,torch.nn.functional.softplus,250.0,gru,underfitting,low_co_high_cycle
99e827ab,fr,64,300,250,torch.nn.functional.softplus,250.0,gru,underfitting,low_co_high_cycle
55fe4874,fr,128,300,250,torch.nn.functional.softplus,250.0,gru,underfitting,low_co_high_cycle
55fe4874,fr,128,300,250,torch.nn.functional.softplus,250.0,gru,underfitting,low_co_high_cycle
ff61b4da,fr,64,300,250,,250.0,gru,underfitting,low_co_high_cycle
ff61b4da,fr,64,300,250,,250.0,gru,underfitting,low_co_high_cycle
c16d6269,fr,128,300,250,,250.0,gru,underfitting,low_co_high_cycle
c16d6269,fr,128,300,250,,250.0,gru,underfitting,low_co_high_cycle
b67d9926,gru,64,300,200,torch.nn.functional.softplus,200.0,gru,underfitting,low_co_high_cycle
b67d9926,gru,64,300,200,torch.nn.functional.softplus,200.0,gru,underfitting,low_co_high_cycle
01743df6,gru,64,300,200,,200.0,gru,underfitting,low_co_high_cycle
01743df6,gru,64,300,200,,200.0,gru,underfitting,low_co_high_cycle
3f93dbf0,gru,64,300,200,torch.nn.functional.softplus,200.0,gru,underfitting,low_co_high_cycle
3f93dbf0,gru,64,300,200,torch.nn.functional.softplus,200.0,gru,underfitting,low_co_high_cycle
c142fbce,gru,64,300,200,,200.0,gru,underfitting,low_co_high_cycle
c142fbce,gru,64,300,200,,200.0,gru,underfitting,low_co_high_cycle
e2ba8806,gru,64,300,280,torch.nn.functional.softplus,280.0,gru,underfitting,low_co_high_cycle
e2ba8806,gru,64,300,280,torch.nn.functional.softplus,280.0,gru,underfitting,low_co_high_cycle
2fe1636c,gru,128,300,280,torch.nn.functional.softplus,280.0,gru,underfitting,low_co_high_cycle
2fe1636c,gru,128,300,280,torch.nn.functional.softplus,280.0,gru,underfitting,low_co_high_cycle
c631a64c,fr,64,300,250,torch.nn.functional.softplus,250.0,gru,underfitting,low_co_high_cycle
f49d0127,fr,128,300,250,torch.nn.functional.softplus,250.0,gru,underfitting,low_co_high_cycle
c631a64c,fr,64,300,250,torch.nn.functional.softplus,250.0,gru,underfitting,low_co_high_cycle
f49d0127,fr,128,300,250,torch.nn.functional.softplus,250.0,gru,underfitting,low_co_high_cycle
945575ce,fr,64,300,250,,250.0,gru,underfitting,low_co_high_cycle
945575ce,fr,64,300,250,,250.0,gru,underfitting,low_co_high_cycle
a058d181,fr,128,300,250,,250.0,gru,underfitting,low_co_high_cycle
a058d181,fr,128,300,250,,250.0,gru,underfitting,low_co_high_cycle
99e827ab,fr,64,300,250,torch.nn.functional.softplus,250.0,gru,underfitting,low_co_high_cycle
99e827ab,fr,64,300,250,torch.nn.functional.softplus,250.0,gru,underfitting,low_co_high_cycle
55fe4874,fr,128,300,250,torch.nn.functional.softplus,250.0,gru,underfitting,low_co_high_cycle
55fe4874,fr,128,300,250,torch.nn.functional.softplus,250.0,gru,underfitting,low_co_high_cycle
ff61b4da,fr,64,300,250,,250.0,gru,underfitting,low_co_high_cycle
ff61b4da,fr,64,300,250,,250.0,gru,underfitting,low_co_high_cycle
c16d6269,fr,128,300,250,,250.0,gru,underfitting,low_co_high_cycle
c16d6269,fr,128,300,250,,250.0,gru,underfitting,low_co_high_cycle
56f38c06,fr,128,300,280,,280.0,gru,underfitting,low_co_high_cycle
812c1c42,fr,64,300,280,,280.0,gru,underfitting,low_co_high_cycle
56f38c06,fr,128,300,280,,280.0,gru,underfitting,low_co_high_cycle
812c1c42,fr,64,300,280,,280.0,gru,underfitting,low_co_high_cycle
e2ba8806,gru,64,300,280,torch.nn.functional.softplus,280.0,gru,underfitting,low_co_high_cycle
e2ba8806,gru,64,300,280,torch.nn.functional.softplus,280.0,gru,underfitting,low_co_high_cycle
2fe1636c,gru,128,300,280,torch.nn.functional.softplus,280.0,gru,underfitting,low_co_high_cycle
2fe1636c,gru,128,300,280,torch.nn.functional.softplus,280.0,gru,underfitting,low_co_high_cycle
668e9d89,fr,64,300,280,,280.0,gru,underfitting,low_co_high_cycle
668e9d89,fr,64,300,280,,280.0,gru,underfitting,low_co_high_cycle
fff1781f,fr,128,300,280,,280.0,gru,underfitting,low_co_high_cycle
fff1781f,fr,128,300,280,,280.0,gru,underfitting,low_co_high_cycle
b67d9926,gru,64,300,200,torch.nn.functional.softplus,200.0,gru,underfitting,low_co_high_cycle
b67d9926,gru,64,300,200,torch.nn.functional.softplus,200.0,gru,underfitting,low_co_high_cycle
01743df6,gru,64,300,200,,200.0,gru,underfitting,low_co_high_cycle
01743df6,gru,64,300,200,,200.0,gru,underfitting,low_co_high_cycle
3f93dbf0,gru,64,300,200,torch.nn.functional.softplus,200.0,gru,underfitting,low_co_high_cycle
3f93dbf0,gru,64,300,200,torch.nn.functional.softplus,200.0,gru,underfitting,low_co_high_cycle
c142fbce,gru,64,300,200,,200.0,gru,underfitting,low_co_high_cycle
c142fbce,gru,64,300,200,,200.0,gru,underfitting,low_co_high_cycle
e2ba8806,gru,64,300,280,torch.nn.functional.softplus,280.0,gru,underfitting,low_co_high_cycle
2fe1636c,gru,128,300,280,torch.nn.functional.softplus,280.0,gru,underfitting,low_co_high_cycle
2fe1636c,gru,128,300,280,torch.nn.functional.softplus,280.0,gru,underfitting,low_co_high_cycle
e2ba8806,gru,64,300,280,torch.nn.functional.softplus,280.0,gru,underfitting,low_co_high_cycle
c631a64c,fr,64,300,250,torch.nn.functional.softplus,250.0,gru,underfitting,both
c631a64c,fr,64,300,250,torch.nn.functional.softplus,250.0,gru,underfitting,both
945575ce,fr,64,300,250,,250.0,gru,underfitting,both
945575ce,fr,64,300,250,,250.0,gru,underfitting,both
99e827ab,fr,64,300,250,torch.nn.functional.softplus,250.0,gru,underfitting,both
99e827ab,fr,64,300,250,torch.nn.functional.softplus,250.0,gru,underfitting,both
ff61b4da,fr,64,300,250,,250.0,gru,underfitting,both
ff61b4da,fr,64,300,250,,250.0,gru,underfitting,both
c631a64c,fr,64,300,250,torch.nn.functional.softplus,250.0,gru,underfitting,both
c631a64c,fr,64,300,250,torch.nn.functional.softplus,250.0,gru,underfitting,both
945575ce,fr,64,300,250,,250.0,gru,underfitting,both
945575ce,fr,64,300,250,,250.0,gru,underfitting,both
99e827ab,fr,64,300,250,torch.nn.functional.softplus,250.0,gru,underfitting,both
99e827ab,fr,64,300,250,torch.nn.functional.softplus,250.0,gru,underfitting,both
ff61b4da,fr,64,300,250,,250.0,gru,underfitting,both
ff61b4da,fr,64,300,250,,250.0,gru,underfitting,both
fbf8412f,node,10,300,200,torch.nn.functional.softplus,200.0,gru,top_performers,with_ground_truth
fbf8412f,node,10,300,200,torch.nn.functional.softplus,200.0,gru,top_performers,with_ground_truth
19f3a445,node,10,300,200,,200.0,gru,top_performers,with_ground_truth
19f3a445,node,10,300,200,,200.0,gru,top_performers,with_ground_truth
e0ed99f9,gnode,10,300,250,torch.nn.functional.softplus,250.0,gru,top_performers,without_ground_truth
e0ed99f9,gnode,10,300,250,torch.nn.functional.softplus,250.0,gru,top_performers,without_ground_truth
0393f9dd,gnode,10,300,250,torch.nn.functional.softplus,250.0,gru,top_performers,without_ground_truth
0393f9dd,gnode,10,300,250,torch.nn.functional.softplus,250.0,gru,top_performers,without_ground_truth
f741e874,gnode,64,300,200,torch.nn.functional.softplus,200.0,node,inventing_features,high_rate_low_state
f741e874,gnode,64,300,200,torch.nn.functional.softplus,200.0,node,inventing_features,high_rate_low_state
da23dded,gnode,64,300,200,torch.nn.functional.softplus,200.0,node,inventing_features,high_rate_low_state
da23dded,gnode,64,300,200,torch.nn.functional.softplus,200.0,node,inventing_features,high_rate_low_state
0f85a8e3,node,64,300,280,,280.0,node,inventing_features,high_rate_low_state
0f85a8e3,node,64,300,280,,280.0,node,inventing_features,high_rate_low_state
47849297,node,64,300,280,,280.0,node,inventing_features,high_rate_low_state
47849297,node,64,300,280,,280.0,node,inventing_features,high_rate_low_state
ec49fe76,gnode,64,300,250,torch.nn.functional.softplus,250.0,node,inventing_features,high_rate_low_state
ec49fe76,gnode,64,300,250,torch.nn.functional.softplus,250.0,node,inventing_features,high_rate_low_state
0d9116d3,gnode,64,300,280,torch.nn.functional.softplus,280.0,node,inventing_features,high_rate_low_state
0d9116d3,gnode,64,300,280,torch.nn.functional.softplus,280.0,node,inventing_features,high_rate_low_state
a89d9062,gnode,64,300,280,torch.nn.functional.softplus,280.0,node,inventing_features,high_rate_low_state
a89d9062,gnode,64,300,280,torch.nn.functional.softplus,280.0,node,inventing_features,high_rate_low_state
82843c5d,node,64,300,200,torch.nn.functional.softplus,200.0,node,inventing_features,high_rate_low_state
82843c5d,node,64,300,200,torch.nn.functional.softplus,200.0,node,inventing_features,high_rate_low_state
f3c6b011,node,64,300,200,torch.nn.functional.softplus,200.0,node,inventing_features,high_rate_low_state
f3c6b011,node,64,300,200,torch.nn.functional.softplus,200.0,node,inventing_features,high_rate_low_state
bf935b0b,node,64,300,250,,250.0,node,inventing_features,high_rate_low_state
bf935b0b,node,64,300,250,,250.0,node,inventing_features,high_rate_low_state
e3cba591,node,64,300,250,,250.0,node,inventing_features,high_rate_low_state
e3cba591,node,64,300,250,,250.0,node,inventing_features,high_rate_low_state
3d0639c4,node,64,300,200,,200.0,node,inventing_features,high_rate_low_state
3d0639c4,node,64,300,200,,200.0,node,inventing_features,high_rate_low_state
dc70cdf9,node,64,300,200,,200.0,node,inventing_features,high_rate_low_state
dc70cdf9,node,64,300,200,,200.0,node,inventing_features,high_rate_low_state
a6353ced,node,64,300,250,torch.nn.functional.softplus,250.0,node,inventing_features,high_rate_low_state
a6353ced,node,64,300,250,torch.nn.functional.softplus,250.0,node,inventing_features,high_rate_low_state
90ff7966,node,64,300,250,torch.nn.functional.softplus,250.0,node,inventing_features,high_rate_low_state
90ff7966,node,64,300,250,torch.nn.functional.softplus,250.0,node,inventing_features,high_rate_low_state
aaffb04f,node,64,300,280,torch.nn.functional.softplus,280.0,node,inventing_features,high_rate_low_state
aaffb04f,node,64,300,280,torch.nn.functional.softplus,280.0,node,inventing_features,high_rate_low_state
558e9526,node,64,300,280,torch.nn.functional.softplus,280.0,node,inventing_features,high_rate_low_state
558e9526,node,64,300,280,torch.nn.functional.softplus,280.0,node,inventing_features,high_rate_low_state
ab098499,gru,64,300,250,torch.nn.functional.softplus,250.0,node,underfitting,low_co_high_cycle
ab098499,gru,64,300,250,torch.nn.functional.softplus,250.0,node,underfitting,low_co_high_cycle
5786594d,gru,64,300,250,,250.0,node,underfitting,low_co_high_cycle
5786594d,gru,64,300,250,,250.0,node,underfitting,low_co_high_cycle
ab17c719,fr,64,300,200,torch.nn.functional.softplus,200.0,node,underfitting,low_co_high_cycle
ab17c719,fr,64,300,200,torch.nn.functional.softplus,200.0,node,underfitting,low_co_high_cycle
4925fdf9,fr,64,300,200,,200.0,node,underfitting,low_co_high_cycle
4925fdf9,fr,64,300,200,,200.0,node,underfitting,low_co_high_cycle
ab098499,gru,64,300,250,torch.nn.functional.softplus,250.0,node,underfitting,low_co_high_cycle
ab098499,gru,64,300,250,torch.nn.functional.softplus,250.0,node,underfitting,low_co_high_cycle
5786594d,gru,64,300,250,,250.0,node,underfitting,low_co_high_cycle
5786594d,gru,64,300,250,,250.0,node,underfitting,low_co_high_cycle
d69306a4,fr,128,300,280,torch.nn.functional.softplus,280.0,node,underfitting,low_co_high_cycle
d69306a4,fr,128,300,280,torch.nn.functional.softplus,280.0,node,underfitting,low_co_high_cycle
8ae0abef,fr,128,300,280,torch.nn.functional.softplus,280.0,node,underfitting,low_co_high_cycle
8ae0abef,fr,128,300,280,torch.nn.functional.softplus,280.0,node,underfitting,low_co_high_cycle
edd50266,fr,256,300,280,torch.nn.functional.softplus,280.0,node,underfitting,low_co_high_cycle
edd50266,fr,256,300,280,torch.nn.functional.softplus,280.0,node,underfitting,low_co_high_cycle
d69306a4,fr,128,300,280,torch.nn.functional.softplus,280.0,node,underfitting,low_co_high_cycle
d69306a4,fr,128,300,280,torch.nn.functional.softplus,280.0,node,underfitting,low_co_high_cycle
a1397d01,fr,128,300,280,,280.0,node,underfitting,low_co_high_cycle
a1397d01,fr,128,300,280,,280.0,node,underfitting,low_co_high_cycle
8ae0abef,fr,128,300,280,torch.nn.functional.softplus,280.0,node,underfitting,low_co_high_cycle
8ae0abef,fr,128,300,280,torch.nn.functional.softplus,280.0,node,underfitting,low_co_high_cycle
edd50266,fr,256,300,280,torch.nn.functional.softplus,280.0,node,underfitting,low_co_high_cycle
edd50266,fr,256,300,280,torch.nn.functional.softplus,280.0,node,underfitting,low_co_high_cycle
26784770,fr,128,300,280,,280.0,node,underfitting,low_co_high_cycle
