hashname,model,_latent_size,_output_nonlinearity,_heldin_size,_vf_hidden_size,_vf_num_layers,model_type,metric
fbf8412f,node,10,300,200,torch.nn.functional.softplus,200.0,gru,top_with_gt
19f3a445,node,10,300,200,,200.0,gru,top_with_gt
19f3a445,node,10,300,200,,200.0,gru,top_with_gt
e0ed99f9,gnode,10,300,250,torch.nn.functional.softplus,250.0,gru,top_without_gt
e0ed99f9,gnode,10,300,250,torch.nn.functional.softplus,250.0,gru,top_without_gt
0393f9dd,gnode,10,300,250,torch.nn.functional.softplus,250.0,gru,top_without_gt
0393f9dd,gnode,10,300,250,torch.nn.functional.softplus,250.0,gru,top_without_gt
1d767d43,gru,32,300,250,torch.nn.functional.softplus,250.0,node,underfitting
cfe4ccea,gru,64,300,250,torch.nn.functional.softplus,250.0,node,underfitting
0fab825a,gru,32,300,250,,250.0,node,underfitting
0fab825a,gru,32,300,250,,250.0,node,underfitting
cfe4ccea,gru,64,300,250,torch.nn.functional.softplus,250.0,node,underfitting
1d767d43,gru,32,300,250,torch.nn.functional.softplus,250.0,node,underfitting
b08bd986,gru,64,300,250,,250.0,node,underfitting
b08bd986,gru,64,300,250,,250.0,node,underfitting
ab098499,gru,64,300,250,torch.nn.functional.softplus,250.0,node,underfitting
ab098499,gru,64,300,250,torch.nn.functional.softplus,250.0,node,underfitting
5786594d,gru,64,300,250,,250.0,node,underfitting
5786594d,gru,64,300,250,,250.0,node,underfitting
ab17c719,fr,64,300,200,torch.nn.functional.softplus,200.0,node,underfitting
ab17c719,fr,64,300,200,torch.nn.functional.softplus,200.0,node,underfitting
4925fdf9,fr,64,300,200,,200.0,node,underfitting
4925fdf9,fr,64,300,200,,200.0,node,underfitting
cfe4ccea,gru,64,300,250,torch.nn.functional.softplus,250.0,node,underfitting
0fab825a,gru,32,300,250,,250.0,node,underfitting
1d767d43,gru,32,300,250,torch.nn.functional.softplus,250.0,node,underfitting
cfe4ccea,gru,64,300,250,torch.nn.functional.softplus,250.0,node,underfitting
1d767d43,gru,32,300,250,torch.nn.functional.softplus,250.0,node,underfitting
0fab825a,gru,32,300,250,,250.0,node,underfitting
b08bd986,gru,64,300,250,,250.0,node,underfitting
b08bd986,gru,64,300,250,,250.0,node,underfitting
ab098499,gru,64,300,250,torch.nn.functional.softplus,250.0,node,underfitting
ab098499,gru,64,300,250,torch.nn.functional.softplus,250.0,node,underfitting
5786594d,gru,64,300,250,,250.0,node,underfitting
5786594d,gru,64,300,250,,250.0,node,underfitting
d69306a4,fr,128,300,280,torch.nn.functional.softplus,280.0,node,underfitting
d69306a4,fr,128,300,280,torch.nn.functional.softplus,280.0,node,underfitting
8ae0abef,fr,128,300,280,torch.nn.functional.softplus,280.0,node,underfitting
8ae0abef,fr,128,300,280,torch.nn.functional.softplus,280.0,node,underfitting
edd50266,fr,256,300,280,torch.nn.functional.softplus,280.0,node,underfitting
edd50266,fr,256,300,280,torch.nn.functional.softplus,280.0,node,underfitting
d69306a4,fr,128,300,280,torch.nn.functional.softplus,280.0,node,underfitting
d69306a4,fr,128,300,280,torch.nn.functional.softplus,280.0,node,underfitting
a1397d01,fr,128,300,280,,280.0,node,underfitting
a1397d01,fr,128,300,280,,280.0,node,underfitting
8ae0abef,fr,128,300,280,torch.nn.functional.softplus,280.0,node,underfitting
8ae0abef,fr,128,300,280,torch.nn.functional.softplus,280.0,node,underfitting
edd50266,fr,256,300,280,torch.nn.functional.softplus,280.0,node,underfitting
edd50266,fr,256,300,280,torch.nn.functional.softplus,280.0,node,underfitting
26784770,fr,128,300,280,,280.0,node,underfitting
26784770,fr,128,300,280,,280.0,node,underfitting
e9d58413,fr,256,300,280,,280.0,node,underfitting
e9d58413,fr,256,300,280,,280.0,node,underfitting
ab17c719,fr,64,300,200,torch.nn.functional.softplus,200.0,node,underfitting
ab17c719,fr,64,300,200,torch.nn.functional.softplus,200.0,node,underfitting
4925fdf9,fr,64,300,200,,200.0,node,underfitting
4925fdf9,fr,64,300,200,,200.0,node,underfitting
bc117a87,gnode,2,300,200,torch.nn.functional.softplus,200.0,node,top_with_gt
bc117a87,gnode,2,300,200,torch.nn.functional.softplus,200.0,node,top_with_gt
17674d60,gnode,2,300,200,torch.nn.functional.softplus,200.0,node,top_with_gt
17674d60,gnode,2,300,200,torch.nn.functional.softplus,200.0,node,top_with_gt
0dba453e,node,2,300,280,,280.0,node,top_without_gt
0dba453e,node,2,300,280,,280.0,node,top_without_gt
d3a07ea8,node,2,300,280,torch.nn.functional.softplus,280.0,node,top_without_gt
d3a07ea8,node,2,300,280,torch.nn.functional.softplus,280.0,node,top_without_gt
