hashname,model,20250407_PC_NODE_grid_final_latent_size,_max_epochs,_seed,_lr,_weight_decay,_encoder_size,_file_index,_output_nonlinearity,_heldin_size,_heldout_size,_n_heldin,_n_heldout,_fr_scaling,_rect_func,_obs_noise,_dispersion,_alpha,_vf_hidden_size,_vf_num_layers,state_r2,rate_r2,co-bps,cycle_con
f6d6e2ec,gnode,3,500,0,0.002,0.0,128,21,torch.nn.functional.softplus,280,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
a11c8872,gnode,2,500,0,0.002,0.0,128,21,torch.nn.functional.softplus,280,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
2752b51b,gnode,5,500,0,0.002,0.0,128,21,torch.nn.functional.softplus,280,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
9fb04573,gnode,64,500,0,0.002,0.0,128,21,torch.nn.functional.softplus,280,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
50d592ec,gnode,32,500,0,0.002,0.0,128,21,torch.nn.functional.softplus,280,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
a11c8872,gnode,2,500,0,0.002,0.0,128,21,torch.nn.functional.softplus,280,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
50d592ec,gnode,32,500,0,0.002,0.0,128,21,torch.nn.functional.softplus,280,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
012a3935,gnode,10,500,0,0.002,0.0,128,21,torch.nn.functional.softplus,280,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
f6d6e2ec,gnode,3,500,0,0.002,0.0,128,21,torch.nn.functional.softplus,280,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
2752b51b,gnode,5,500,0,0.002,0.0,128,21,torch.nn.functional.softplus,280,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
9fb04573,gnode,64,500,0,0.002,0.0,128,21,torch.nn.functional.softplus,280,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
f79e0783,gnode,2,501,0,0.002,0.0,128,21,torch.nn.functional.softplus,280,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
7059fe67,gnode,10,501,0,0.002,0.0,128,21,torch.nn.functional.softplus,280,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
cc164747,gnode,64,501,0,0.002,0.0,128,21,torch.nn.functional.softplus,280,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
83e92313,gnode,5,501,0,0.002,0.0,128,21,torch.nn.functional.softplus,280,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
7bba11d7,gnode,32,501,0,0.002,0.0,128,21,torch.nn.functional.softplus,280,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
259a0163,gnode,3,501,0,0.002,0.0,128,21,torch.nn.functional.softplus,280,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
83e92313,gnode,5,501,0,0.002,0.0,128,21,torch.nn.functional.softplus,280,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
cc164747,gnode,64,501,0,0.002,0.0,128,21,torch.nn.functional.softplus,280,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
7059fe67,gnode,10,501,0,0.002,0.0,128,21,torch.nn.functional.softplus,280,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
f79e0783,gnode,2,501,0,0.002,0.0,128,21,torch.nn.functional.softplus,280,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
7bba11d7,gnode,32,501,0,0.002,0.0,128,21,torch.nn.functional.softplus,280,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
