hashname,20250413_PClicks_NoisyGRU_final2_latent_size,_max_epochs,_seed,_lr,_weight_decay,_encoder_size,_file_index,_output_nonlinearity,_heldin_size,_heldout_size,_n_heldin,_n_heldout,_fr_scaling,_rect_func,_obs_noise,_dispersion,_alpha,_vf_hidden_size,_vf_num_layers
fb18738e,64,501,0,2.00E-03,0,128,5,torch.nn.functional.softplus,280,300,280,20,1.00E+00,softplus,poisson,1.00E+00,1.00E-01,64,3
b67d9926,64,500,0,1.00E-04,1.00E-04,128,5,torch.nn.functional.softplus,200,300,200,100,1.00E+00,softplus,poisson,1.00E+00,,,
8b95b1f5,32,500,0,1.00E-04,1.00E-04,128,5,None,200,300,200,100,1.00E+00,softplus,poisson,1.00E+00,,,
efe15f6a,256,500,0,1.00E-04,1.00E-04,128,5,torch.nn.functional.softplus,200,300,200,100,1.00E+00,softplus,poisson,1.00E+00,,,
4abacb9e,512,500,0,1.00E-04,1.00E-04,128,5,torch.nn.functional.softplus,200,300,200,100,1.00E+00,softplus,poisson,1.00E+00,,,
25da195e,128,500,0,1.00E-04,1.00E-04,128,5,torch.nn.functional.softplus,200,300,200,100,1.00E+00,softplus,poisson,1.00E+00,,,
b67d9926,64,500,0,1.00E-04,1.00E-04,128,5,torch.nn.functional.softplus,200,300,200,100,1.00E+00,softplus,poisson,1.00E+00,,,
8b95b1f5,32,500,0,1.00E-04,1.00E-04,128,5,None,200,300,200,100,1.00E+00,softplus,poisson,1.00E+00,,,
efe15f6a,256,500,0,1.00E-04,1.00E-04,128,5,torch.nn.functional.softplus,200,300,200,100,1.00E+00,softplus,poisson,1.00E+00,,,
80a77dd3,32,500,0,1.00E-04,1.00E-04,128,5,torch.nn.functional.softplus,200,300,200,100,1.00E+00,softplus,poisson,1.00E+00,,,
4abacb9e,512,500,0,1.00E-04,1.00E-04,128,5,torch.nn.functional.softplus,200,300,200,100,1.00E+00,softplus,poisson,1.00E+00,,,
25da195e,128,500,0,1.00E-04,1.00E-04,128,5,torch.nn.functional.softplus,200,300,200,100,1.00E+00,softplus,poisson,1.00E+00,,,
80a77dd3,32,500,0,1.00E-04,1.00E-04,128,5,torch.nn.functional.softplus,200,300,200,100,1.00E+00,softplus,poisson,1.00E+00,,,
01743df6,64,500,0,1.00E-04,1.00E-04,128,5,None,200,300,200,100,1.00E+00,softplus,poisson,1.00E+00,,,
01743df6,64,500,0,1.00E-04,1.00E-04,128,5,None,200,300,200,100,1.00E+00,softplus,poisson,1.00E+00,,,
34218555,128,500,0,1.00E-04,1.00E-04,128,5,None,200,300,200,100,1.00E+00,softplus,poisson,1.00E+00,,,
34218555,128,500,0,1.00E-04,1.00E-04,128,5,None,200,300,200,100,1.00E+00,softplus,poisson,1.00E+00,,,
2108a045,256,500,0,1.00E-04,1.00E-04,128,5,None,200,300,200,100,1.00E+00,softplus,poisson,1.00E+00,,,
2108a045,256,500,0,1.00E-04,1.00E-04,128,5,None,200,300,200,100,1.00E+00,softplus,poisson,1.00E+00,,,
1d4cc959,512,500,0,1.00E-04,1.00E-04,128,5,None,200,300,200,100,1.00E+00,softplus,poisson,1.00E+00,,,
1d4cc959,512,500,0,1.00E-04,1.00E-04,128,5,None,200,300,200,100,1.00E+00,softplus,poisson,1.00E+00,,,
b6189ca3,32,501,0,1.00E-04,1.00E-04,128,5,torch.nn.functional.softplus,200,300,200,100,1.00E+00,softplus,poisson,1.00E+00,,,
b6189ca3,32,501,0,1.00E-04,1.00E-04,128,5,torch.nn.functional.softplus,200,300,200,100,1.00E+00,softplus,poisson,1.00E+00,,,
3f93dbf0,64,501,0,1.00E-04,1.00E-04,128,5,torch.nn.functional.softplus,200,300,200,100,1.00E+00,softplus,poisson,1.00E+00,,,
3f93dbf0,64,501,0,1.00E-04,1.00E-04,128,5,torch.nn.functional.softplus,200,300,200,100,1.00E+00,softplus,poisson,1.00E+00,,,
3fb5b686,128,501,0,1.00E-04,1.00E-04,128,5,torch.nn.functional.softplus,200,300,200,100,1.00E+00,softplus,poisson,1.00E+00,,,
3fb5b686,128,501,0,1.00E-04,1.00E-04,128,5,torch.nn.functional.softplus,200,300,200,100,1.00E+00,softplus,poisson,1.00E+00,,,
8f46fe6d,256,501,0,1.00E-04,1.00E-04,128,5,torch.nn.functional.softplus,200,300,200,100,1.00E+00,softplus,poisson,1.00E+00,,,
8f46fe6d,256,501,0,1.00E-04,1.00E-04,128,5,torch.nn.functional.softplus,200,300,200,100,1.00E+00,softplus,poisson,1.00E+00,,,
2ce0f713,512,501,0,1.00E-04,1.00E-04,128,5,torch.nn.functional.softplus,200,300,200,100,1.00E+00,softplus,poisson,1.00E+00,,,
2ce0f713,512,501,0,1.00E-04,1.00E-04,128,5,torch.nn.functional.softplus,200,300,200,100,1.00E+00,softplus,poisson,1.00E+00,,,
2102ad75,32,501,0,1.00E-04,1.00E-04,128,5,None,200,300,200,100,1.00E+00,softplus,poisson,1.00E+00,,,
2102ad75,32,501,0,1.00E-04,1.00E-04,128,5,None,200,300,200,100,1.00E+00,softplus,poisson,1.00E+00,,,
c142fbce,64,501,0,1.00E-04,1.00E-04,128,5,None,200,300,200,100,1.00E+00,softplus,poisson,1.00E+00,,,
c142fbce,64,501,0,1.00E-04,1.00E-04,128,5,None,200,300,200,100,1.00E+00,softplus,poisson,1.00E+00,,,
b8bcd830,128,501,0,1.00E-04,1.00E-04,128,5,None,200,300,200,100,1.00E+00,softplus,poisson,1.00E+00,,,
b8bcd830,128,501,0,1.00E-04,1.00E-04,128,5,None,200,300,200,100,1.00E+00,softplus,poisson,1.00E+00,,,
1252e030,256,501,0,1.00E-04,1.00E-04,128,5,None,200,300,200,100,1.00E+00,softplus,poisson,1.00E+00,,,
1252e030,256,501,0,1.00E-04,1.00E-04,128,5,None,200,300,200,100,1.00E+00,softplus,poisson,1.00E+00,,,
6113c2a1,512,501,0,1.00E-04,1.00E-04,128,5,None,200,300,200,100,1.00E+00,softplus,poisson,1.00E+00,,,
6113c2a1,512,501,0,1.00E-04,1.00E-04,128,5,None,200,300,200,100,1.00E+00,softplus,poisson,1.00E+00,,,
d4c93c2c,128,500,0,1.00E-04,1.00E-04,128,5,torch.nn.functional.softplus,280,300,280,20,1.00E+00,softplus,poisson,1.00E+00,,,
6cd9fb81,256,500,0,1.00E-04,1.00E-04,128,5,torch.nn.functional.softplus,280,300,280,20,1.00E+00,softplus,poisson,1.00E+00,,,
b08fb16f,64,500,0,1.00E-04,1.00E-04,128,5,torch.nn.functional.softplus,280,300,280,20,1.00E+00,softplus,poisson,1.00E+00,,,
99533ba3,32,501,0,1.00E-04,1.00E-04,128,5,torch.nn.functional.softplus,280,300,280,20,1.00E+00,softplus,poisson,1.00E+00,,,
141ebfef,512,500,0,1.00E-04,1.00E-04,128,5,torch.nn.functional.softplus,280,300,280,20,1.00E+00,softplus,poisson,1.00E+00,,,
9bee8551,32,500,0,1.00E-04,1.00E-04,128,5,torch.nn.functional.softplus,280,300,280,20,1.00E+00,softplus,poisson,1.00E+00,,,
b08fb16f,64,500,0,1.00E-04,1.00E-04,128,5,torch.nn.functional.softplus,280,300,280,20,1.00E+00,softplus,poisson,1.00E+00,,,
141ebfef,512,500,0,1.00E-04,1.00E-04,128,5,torch.nn.functional.softplus,280,300,280,20,1.00E+00,softplus,poisson,1.00E+00,,,
d4c93c2c,128,500,0,1.00E-04,1.00E-04,128,5,torch.nn.functional.softplus,280,300,280,20,1.00E+00,softplus,poisson,1.00E+00,,,
9bee8551,32,500,0,1.00E-04,1.00E-04,128,5,torch.nn.functional.softplus,280,300,280,20,1.00E+00,softplus,poisson,1.00E+00,,,
6cd9fb81,256,500,0,1.00E-04,1.00E-04,128,5,torch.nn.functional.softplus,280,300,280,20,1.00E+00,softplus,poisson,1.00E+00,,,
99533ba3,32,501,0,1.00E-04,1.00E-04,128,5,torch.nn.functional.softplus,280,300,280,20,1.00E+00,softplus,poisson,1.00E+00,,,
e2ba8806,64,501,0,1.00E-04,1.00E-04,128,5,torch.nn.functional.softplus,280,300,280,20,1.00E+00,softplus,poisson,1.00E+00,,,
e2ba8806,64,501,0,1.00E-04,1.00E-04,128,5,torch.nn.functional.softplus,280,300,280,20,1.00E+00,softplus,poisson,1.00E+00,,,
2fe1636c,128,501,0,1.00E-04,1.00E-04,128,5,torch.nn.functional.softplus,280,300,280,20,1.00E+00,softplus,poisson,1.00E+00,,,
2fe1636c,128,501,0,1.00E-04,1.00E-04,128,5,torch.nn.functional.softplus,280,300,280,20,1.00E+00,softplus,poisson,1.00E+00,,,
