hashname,model,_latent_size,_max_epochs,_seed,_lr,_weight_decay,_encoder_size,_file_index,_output_nonlinearity,_heldin_size,_heldout_size,_n_heldin,_n_heldout,_fr_scaling,_rect_func,_obs_noise,_dispersion,_alpha,_vf_hidden_size,_vf_num_layers,state_r2,rate_r2,co-bps,cycle_con
fb18738e,gnode,64,501,0,0.002,0.0,128,5,torch.nn.functional.softplus,280,300,280,20,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.8435924053192139,0.991338312625885,0.2259804755449295,0.8427585363388062
b67d9926,gru,64,500,0,0.0001,0.0001,128,5,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.7905879616737366,0.4118238389492035,0.0839697644114494,0.997506320476532
8b95b1f5,gru,32,500,0,0.0001,0.0001,128,5,,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.902965009212494,0.7898401021957397,0.1653398275375366,0.9987745881080629
efe15f6a,gru,256,500,0,0.0001,0.0001,128,5,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.7048625946044922,0.4767059683799743,0.1011343523859977,0.9946269989013672
4abacb9e,gru,512,500,0,0.0001,0.0001,128,5,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.8218726515769958,0.6727588176727295,0.1445925235748291,0.9993359446525574
25da195e,gru,128,500,0,0.0001,0.0001,128,5,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.8226228356361389,0.6317758560180664,0.1323979794979095,0.9922075867652892
b67d9926,gru,64,500,0,0.0001,0.0001,128,5,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.7905879616737366,0.4118238389492035,0.0839697644114494,0.997506320476532
8b95b1f5,gru,32,500,0,0.0001,0.0001,128,5,,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.902965009212494,0.7898401021957397,0.1653398275375366,0.9987745881080629
efe15f6a,gru,256,500,0,0.0001,0.0001,128,5,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.7048625946044922,0.4767059683799743,0.1011343523859977,0.9946269989013672
80a77dd3,gru,32,500,0,0.0001,0.0001,128,5,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.9028757214546204,0.7898921370506287,0.1652540564537048,0.9987804293632508
4abacb9e,gru,512,500,0,0.0001,0.0001,128,5,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.8218726515769958,0.6727588176727295,0.1445925235748291,0.9993359446525574
25da195e,gru,128,500,0,0.0001,0.0001,128,5,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.8226228356361389,0.6317758560180664,0.1323979794979095,0.9922075867652892
80a77dd3,gru,32,500,0,0.0001,0.0001,128,5,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.9028757214546204,0.7898921370506287,0.1652540564537048,0.9987804293632508
01743df6,gru,64,500,0,0.0001,0.0001,128,5,,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.7931154370307922,0.412758320569992,0.0841578319668769,0.9975075721740724
01743df6,gru,64,500,0,0.0001,0.0001,128,5,,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.7931154370307922,0.412758320569992,0.0841578319668769,0.9975075721740724
34218555,gru,128,500,0,0.0001,0.0001,128,5,,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.8223255276679993,0.63107830286026,0.1322784721851349,0.9922210574150084
34218555,gru,128,500,0,0.0001,0.0001,128,5,,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.8223255276679993,0.63107830286026,0.1322784721851349,0.9922210574150084
2108a045,gru,256,500,0,0.0001,0.0001,128,5,,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.7038118839263916,0.4742330908775329,0.1007255613803863,0.9946427941322328
2108a045,gru,256,500,0,0.0001,0.0001,128,5,,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.7038118839263916,0.4742330908775329,0.1007255613803863,0.9946427941322328
1d4cc959,gru,512,500,0,0.0001,0.0001,128,5,,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.823108434677124,0.6729239821434021,0.1446382850408554,0.999336004257202
1d4cc959,gru,512,500,0,0.0001,0.0001,128,5,,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.823108434677124,0.6729239821434021,0.1446382850408554,0.999336004257202
b6189ca3,gru,32,501,0,0.0001,0.0001,128,5,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.9014847278594972,0.7902904748916626,0.1653182953596115,0.998811662197113
b6189ca3,gru,32,501,0,0.0001,0.0001,128,5,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.9014847278594972,0.7902904748916626,0.1653182953596115,0.998811662197113
3f93dbf0,gru,64,501,0,0.0001,0.0001,128,5,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.79901522397995,0.408674031496048,0.0829201638698577,0.9973785281181335
3f93dbf0,gru,64,501,0,0.0001,0.0001,128,5,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.79901522397995,0.408674031496048,0.0829201638698577,0.9973785281181335
3fb5b686,gru,128,501,0,0.0001,0.0001,128,5,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.7257809042930603,0.4739474058151245,0.0985219180583953,0.9897852540016174
3fb5b686,gru,128,501,0,0.0001,0.0001,128,5,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.7257809042930603,0.4739474058151245,0.0985219180583953,0.9897852540016174
8f46fe6d,gru,256,501,0,0.0001,0.0001,128,5,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.8099551796913147,0.7286845445632935,0.153117299079895,0.9959821105003356
8f46fe6d,gru,256,501,0,0.0001,0.0001,128,5,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.8099551796913147,0.7286845445632935,0.153117299079895,0.9959821105003356
2ce0f713,gru,512,501,0,0.0001,0.0001,128,5,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.8170150518417358,0.6756421327590942,0.1447314172983169,0.9993606209754944
2ce0f713,gru,512,501,0,0.0001,0.0001,128,5,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.8170150518417358,0.6756421327590942,0.1447314172983169,0.9993606209754944
2102ad75,gru,32,501,0,0.0001,0.0001,128,5,,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.905073344707489,0.7919945120811462,0.1656192392110824,0.9988064765930176
2102ad75,gru,32,501,0,0.0001,0.0001,128,5,,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.905073344707489,0.7919945120811462,0.1656192392110824,0.9988064765930176
c142fbce,gru,64,501,0,0.0001,0.0001,128,5,,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.791949987411499,0.4073241949081421,0.0826366320252418,0.9974036812782288
c142fbce,gru,64,501,0,0.0001,0.0001,128,5,,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.791949987411499,0.4073241949081421,0.0826366320252418,0.9974036812782288
b8bcd830,gru,128,501,0,0.0001,0.0001,128,5,,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.7245465517044067,0.4726030528545379,0.098211646080017,0.9897809028625488
b8bcd830,gru,128,501,0,0.0001,0.0001,128,5,,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.7245465517044067,0.4726030528545379,0.098211646080017,0.9897809028625488
1252e030,gru,256,501,0,0.0001,0.0001,128,5,,200,300,200,100,1.0,softplus,poisson,1.0,,,,0.8104729056358337,0.7282781600952148,0.1530413925647735,0.9959819316864014
