Model_Type,Model_Label,Hash_Value,DMD:0,DMD:1,Architecture,Latent_Size,Is_True_Model,DMD:0_3D,DMD:1_3D,DMD:2_3D
node,node_2_7a31afc2,7a31afc2,-0.16513590932322902,0.28172974400386336,node,2,False,-0.5211250891317462,0.4091746220565395,0.13880261114732373
node,node_2_a4d81a60,a4d81a60,-0.06420780599665062,0.1511044983608636,node,2,False,-0.6025650846491581,0.23489140689438587,-0.21894787735012136
node,node_2_106f9119,106f9119,-0.4694444995134285,0.22508469497576308,node,2,False,-0.5704593391197819,-0.28632154291569195,-0.24242233183541312
node,node_2_2c321edb,2c321edb,0.3155053393623414,-0.08803086865320335,node,2,False,0.29544895982271935,0.38912665175306915,0.4695838617357701
node,node_2_188ab288,188ab288,-0.5022030143084539,0.26120989084063795,node,2,False,0.10587635291090991,-0.030499654155657217,-0.6705510767751639
gru,gru_2_0,0,0.3154028715217479,-0.2922616870208836,gru,2,False,0.40064963186628216,-0.4030487841506776,-0.37177239564386877
gru,gru_2_46cff600,46cff600,0.19260958183825097,-0.22377385936936783,gru,2,False,0.6685143293797254,-0.06930255716800222,-0.05680736109151868
gru,gru_2_3c418561,3c418561,0.36650899571777723,0.18897495428192312,gru,2,False,0.42121966186511844,0.4973448046698733,-0.07139257587779589
gru,gru_2_c75c4553,c75c4553,-0.03132230233309462,0.4470719169629653,gru,2,False,0.36633945072782303,0.5593021524719907,0.052931809203791466
gru,gru_2_beb045e5,beb045e5,-0.07961482563271448,-0.10211689051888669,gru,2,False,0.3914884640521634,-0.509276088700594,-0.1902833565936233
gru,gru_2_ccdb1b61,ccdb1b61,0.4867205976444168,0.0759628432318588,gru,2,False,0.017774880321879644,-0.17200187722416407,-0.6512743312461543
gru,gru_2_fb2a0050,fb2a0050,0.44345531286120693,-0.0845686649683465,gru,2,False,0.3793560157596296,-0.5600566871806468,-0.010983840381834717
gru,gru_2_a90fc898,a90fc898,-0.28753453636090043,-0.2548927183379606,gru,2,False,-0.01538334481868336,0.2972127475933829,0.608626625704436
gru,gru_2_9c7ed973,9c7ed973,0.25301826410058637,-0.02488584213379286,gru,2,False,-0.6362192309903726,-0.1869992667024872,0.13596065789389652
gru,gru_2_46cff600,46cff600,0.06119139247917206,0.49846039106591966,gru,2,False,-0.5652976988930506,-0.1732758123030047,-0.32180114171614765
gru,gru_2_3c418561,3c418561,-0.31468250915416673,-0.194046513101198,gru,2,False,0.6368694206405721,-0.23987870404203118,0.12791197010476157
gru,gru_2_c75c4553,c75c4553,-0.45579643275261583,0.22918732272771608,gru,2,False,0.40126464826504493,0.07620892370272898,-0.5312676359367365
gru,gru_2_beb045e5,beb045e5,0.05586751633175174,0.44911444458857935,gru,2,False,-0.45122005779088054,-0.3004189428425595,-0.41191818841593647
