model_label,model_type,hash_value,reduced_dimension,is_true_model
fr_2_8f6f3eb3,fr,8f6f3eb3,2,False
fr_2_b76f7e9a,fr,b76f7e9a,2,False
fr_2_8b2cf091,fr,8b2cf091,2,False
fr_2_247fd6a4,fr,247fd6a4,2,False
fr_2_c729395b,fr,c729395b,2,False
fr_2_57b349b4,fr,57b349b4,2,False
fr_2_a6ea90b2,fr,a6ea90b2,2,False
fr_2_28c1a7de,fr,28c1a7de,2,False
fr_2_8f6f3eb3,fr,8f6f3eb3,2,False
fr_2_b76f7e9a,fr,b76f7e9a,2,False
fr_2_8b2cf091,fr,8b2cf091,2,False
fr_2_247fd6a4,fr,247fd6a4,2,False
fr_2_c729395b,fr,c729395b,2,False
fr_2_57b349b4,fr,57b349b4,2,False
fr_2_a6ea90b2,fr,a6ea90b2,2,False
fr_2_28c1a7de,fr,28c1a7de,2,False
fr_2_f1607a74,fr,f1607a74,2,False
fr_2_774d04ae,fr,774d04ae,2,False
fr_2_1ba2e4e7,fr,1ba2e4e7,2,False
fr_2_a144a155,fr,a144a155,2,False
fr_2_27ea651f,fr,27ea651f,2,False
fr_2_822fb8eb,fr,822fb8eb,2,False
fr_2_849e5565,fr,849e5565,2,False
fr_2_ff5116ad,fr,ff5116ad,2,False
fr_2_95e869f5,fr,95e869f5,2,False
fr_2_9cfa68af,fr,9cfa68af,2,False
fr_2_59aafcad,fr,59aafcad,2,False
fr_2_51898186,fr,51898186,2,False
fr_2_599d7410,fr,599d7410,2,False
fr_2_39ca03fc,fr,39ca03fc,2,False
fr_2_5e371ba8,fr,5e371ba8,2,False
fr_2_83df3de8,fr,83df3de8,2,False
fr_2_27ea651f,fr,27ea651f,2,False
fr_2_822fb8eb,fr,822fb8eb,2,False
fr_2_849e5565,fr,849e5565,2,False
fr_2_ff5116ad,fr,ff5116ad,2,False
fr_2_95e869f5,fr,95e869f5,2,False
fr_2_9cfa68af,fr,9cfa68af,2,False
fr_2_59aafcad,fr,59aafcad,2,False
fr_2_51898186,fr,51898186,2,False
fr_2_9fe0af8f,fr,9fe0af8f,2,False
fr_2_599d7410,fr,599d7410,2,False
fr_2_39ca03fc,fr,39ca03fc,2,False
fr_2_5e371ba8,fr,5e371ba8,2,False
fr_2_83df3de8,fr,83df3de8,2,False
fr_2_a50396c9,fr,a50396c9,2,False
fr_2_73cbffdb,fr,73cbffdb,2,False
fr_2_306365d9,fr,306365d9,2,False
