Model_Type,Model_Label,Hash_Value,DMD:0,DMD:1,Architecture,Latent_Size,Is_True_Model
gru,gru_2_6cd9fb81,6cd9fb81,-0.4005405829355014,-0.3592039534675384,gru,2,False
gru,gru_2_c89d03ff,c89d03ff,0.47011292848762726,-0.38458764687089475,gru,2,False
gru,gru_2_1c2b2641,1c2b2641,-0.4559879552837883,-0.43720356275730565,gru,2,False
gru,gru_2_141ebfef,141ebfef,0.2582627435091193,0.2491131616921902,gru,2,False
gru,gru_2_6cd9fb81,6cd9fb81,-0.2555596182645142,0.41562042590997744,gru,2,False
gru,gru_2_c89d03ff,c89d03ff,-0.15817415795522335,-0.27041538517780705,gru,2,False
gru,gru_2_1252e030,1252e030,0.12763910897745423,0.45692452315299625,gru,2,False
gru,gru_2_2108a045,2108a045,-0.1375908382234644,0.4694098790714066,gru,2,False
gru,gru_2_efe15f6a,efe15f6a,0.1297446332119088,-0.28903021545740265,gru,2,False
gru,gru_2_6113c2a1,6113c2a1,0.3414378432986693,-0.19802654504588388,gru,2,False
gru,gru_2_8f46fe6d,8f46fe6d,0.17527587759343266,0.4815041018052893,gru,2,False
gru,gru_2_2ce0f713,2ce0f713,-0.012788498221873796,-0.30052022348113566,gru,2,False
gru,gru_2_4abacb9e,4abacb9e,0.45427041658831974,-0.3629072450341833,gru,2,False
gru,gru_2_1d4cc959,1d4cc959,0.1727104028740481,0.05660973280603979,gru,2,False
gru,gru_2_141ebfef,141ebfef,-0.1234439444086824,0.4529140017875417,gru,2,False
gru,gru_2_6cd9fb81,6cd9fb81,-0.4847988966012701,-0.3157572763640448,gru,2,False
gru,gru_2_667d6c05,667d6c05,-0.11647246852064072,0.12631972492507104,gru,2,False
gru,gru_2_4a30d451,4a30d451,-0.2175981831205543,-0.14949302532958353,gru,2,False
gru,gru_2_e60b5326,e60b5326,0.28795746744553,-0.19690375918171732,gru,2,False
gru,gru_2_f561fd9e,f561fd9e,-0.4981185768401501,-0.287678212736057,gru,2,False
gru,gru_2_1221f4a0,1221f4a0,-0.2330011929045702,-0.5528335082792855,gru,2,False
gru,gru_2_bb6d13e5,bb6d13e5,-0.37631081740290695,0.4163318688664683,gru,2,False
gru,gru_2_1bf19918,1bf19918,-0.28848091080431215,0.2993181120679047,gru,2,False
gru,gru_2_3aaf083a,3aaf083a,0.15640957528683927,-0.37546261336111814,gru,2,False
gru,gru_2_667d6c05,667d6c05,0.12806857487465806,-0.4721052380990864,gru,2,False
gru,gru_2_4a30d451,4a30d451,0.5013998638124451,0.4137890216074832,gru,2,False
gru,gru_2_e60b5326,e60b5326,-0.058047288325171996,-0.5488486293102713,gru,2,False
gru,gru_2_f561fd9e,f561fd9e,-0.20827522079287397,0.29904484931869973,gru,2,False
gru,gru_2_1221f4a0,1221f4a0,-0.48568249178186956,0.2070531050444826,gru,2,False
gru,gru_2_bb6d13e5,bb6d13e5,-0.012734739803217553,0.5369597864183786,gru,2,False
gru,gru_2_1bf19918,1bf19918,0.4781600241470004,0.492028589048045,gru,2,False
gru,gru_2_3aaf083a,3aaf083a,0.10142717760435953,-0.3392952681677441,gru,2,False
gnode,gnode_2_0,0,-0.45117162570270103,0.012362137542282018,gnode,2,False
gnode,gnode_2_bc117a87,bc117a87,0.4439443239913491,-0.4527928988948558,gnode,2,False
gnode,gnode_2_9cc4086f,9cc4086f,-0.36697787776453716,-0.10253460924192463,gnode,2,False
gnode,gnode_2_17674d60,17674d60,0.41016262093797173,-0.3611883315697723,gnode,2,False
gnode,gnode_2_1a48ba60,1a48ba60,0.35993878191782014,0.5490525907904626,gnode,2,False
gnode,gnode_2_9ece096c,9ece096c,-0.4835129308646028,0.39264812899452733,gnode,2,False
gnode,gnode_2_44c5a780,44c5a780,-0.25703466653865065,-0.4397217824316206,gnode,2,False
gnode,gnode_2_b4f82c0b,b4f82c0b,-0.3882665650755322,0.4890237544162211,gnode,2,False
gnode,gnode_2_7abbc004,7abbc004,-0.4218918322649503,0.5375543082324037,gnode,2,False
gnode,gnode_2_dd3e2bf4,dd3e2bf4,0.5043318345164758,-0.10885679427406887,gnode,2,False
gnode,gnode_2_f08b836b,f08b836b,-0.5447088431139517,0.125050830717976,gnode,2,False
gnode,gnode_2_04121e4c,04121e4c,0.04054408861619851,-0.20015073080668022,gnode,2,False
gnode,gnode_2_e3ce27b6,e3ce27b6,0.14876653956949304,-0.5831404423999715,gnode,2,False
gnode,gnode_2_caa67dc7,caa67dc7,0.4567625748388475,0.2030978077446753,gnode,2,False
gnode,gnode_2_488a7510,488a7510,-0.11502104418743007,-0.06259181902818822,gnode,2,False
gnode,gnode_2_63d789d4,63d789d4,-0.01491129499900028,0.14355577862227759,gnode,2,False
gnode,gnode_2_65ff784b,65ff784b,0.602895810189774,0.1509639954758426,gnode,2,False
gnode,gnode_2_b517bd66,b517bd66,-0.4525948841480471,0.09273270392850703,gnode,2,False
gnode,gnode_2_5de5ff74,5de5ff74,0.5790373459251633,0.18707945269791215,gnode,2,False
gnode,gnode_2_4f494e9c,4f494e9c,-0.09566345440503271,0.28771250800273424,gnode,2,False
gnode,gnode_2_0886bc04,0886bc04,0.38520865832013634,-0.4154923857825102,gnode,2,False
gnode,gnode_2_27e32749,27e32749,0.22662358502587104,-0.48952831175867045,gnode,2,False
gnode,gnode_2_15c2274e,15c2274e,-0.13115383661628996,0.02063333244661994,gnode,2,False
gnode,gnode_2_8e24d1b7,8e24d1b7,0.20783778595487734,-0.2827576262180579,gnode,2,False
gnode,gnode_2_3d1d193b,3d1d193b,0.32718936660832637,0.050928472592257905,gnode,2,False
