hashname,model,latent_size,max_epochs,seed,lr,weight_decay,encoder_size,file_index,vf_hidden_size,vf_num_layers,output_nonlinearity,heldin_size,heldout_size,alpha,n_heldin,n_heldout,fr_scaling,rect_func,obs_noise,dispersion,state_r2,rate_r2,co-bps,cycle_con,source_table,model_from,normalized_latent_size,high_rate_r2,high_state_r2,high_cobps,high_cycle_con
7cb6f585,fr,32,501,0,0.0001,0.0001,128,5,,,,250,300,,250,50,1.0,softplus,,1.0,0.900898575782776,0.5585504174232483,0.1112661212682724,0.9986237287521362,Table_2,GRU,0.0625,False,True,False,True
7cb6f585,fr,32,501,0,0.0001,0.0001,128,5,,,,250,300,,250,50,1.0,softplus,,1.0,0.900898575782776,0.5585504174232483,0.1112661212682724,0.9986237287521362,Table_2,GRU,0.0625,False,True,False,True
ff61b4da,fr,64,501,0,0.0001,0.0001,128,5,,,,250,300,,250,50,1.0,softplus,,1.0,0.8647246360778809,0.3739754259586334,0.0743675306439399,0.9965751767158508,Table_2,GRU,0.125,False,True,False,False
ff61b4da,fr,64,501,0,0.0001,0.0001,128,5,,,,250,300,,250,50,1.0,softplus,,1.0,0.8647246360778809,0.3739754259586334,0.0743675306439399,0.9965751767158508,Table_2,GRU,0.125,False,True,False,False
9bee8551,gru,32,500,0,0.0001,0.0001,128,5,,,torch.nn.functional.softplus,280,300,,280,20,1.0,softplus,,1.0,0.8806248903274536,0.489385038614273,0.0997957810759544,0.9980942606925964,Table_2,GRU,0.0625,False,True,False,False
4d448cf1,fr,32,500,0,0.0001,0.0001,128,5,,,,280,300,,280,20,1.0,softplus,,1.0,0.9189023375511168,0.601836621761322,0.1219579726457595,0.9985808730125428,Table_2,GRU,0.0625,False,True,False,False
9bee8551,gru,32,500,0,0.0001,0.0001,128,5,,,torch.nn.functional.softplus,280,300,,280,20,1.0,softplus,,1.0,0.8806248903274536,0.489385038614273,0.0997957810759544,0.9980942606925964,Table_2,GRU,0.0625,False,True,False,False
4d448cf1,fr,32,500,0,0.0001,0.0001,128,5,,,,280,300,,280,20,1.0,softplus,,1.0,0.9189023375511168,0.601836621761322,0.1219579726457595,0.9985808730125428,Table_2,GRU,0.0625,False,True,False,False
812c1c42,fr,64,500,0,0.0001,0.0001,128,5,,,,280,300,,280,20,1.0,softplus,,1.0,0.902990996837616,0.4200350344181061,0.0825225114822387,0.9970105290412904,Table_2,GRU,0.125,False,True,False,False
812c1c42,fr,64,500,0,0.0001,0.0001,128,5,,,,280,300,,280,20,1.0,softplus,,1.0,0.902990996837616,0.4200350344181061,0.0825225114822387,0.9970105290412904,Table_2,GRU,0.125,False,True,False,False
99533ba3,gru,32,501,0,0.0001,0.0001,128,5,,,torch.nn.functional.softplus,280,300,,280,20,1.0,softplus,,1.0,0.8901799321174622,0.4923642575740814,0.1004226058721542,0.9980628490447998,Table_2,GRU,0.0625,False,True,False,False
